Judul,Status,Link
"Pernyataan Sikap Jaringan CekFakta: ""Mengecam penggunaan disinformasi untuk merusak kredibilitas pembela kebebasan pers""",Benar,https://cekfakta.com/focus/9281
"Benar, Eropa Tambahkan Gangguan Saraf Langka Dalam Daftar Efek Samping Vaksin AstraZeneca",KLARIFIKASI,https://cekfakta.com/focus/8760
"Benar, Klaim Pria Ini Ditangkap Polisi karena Tak Percaya Covid-19",Benar,https://cekfakta.com/focus/8680
"Benar, Klaim Ini Video Tumpukan Jenazah Covid-19 yang Penuhi RS di India",Benar,https://cekfakta.com/focus/8603
[Fakta atau Hoaks] Benarkah Mata Bocah Ini Harus Dioperasi Akibat Kecanduan Gadget?,Benar,https://cekfakta.com/focus/8256
[Fakta atau Hoaks] Benarkah Disinfektan Dapat Picu Kebakaran Jika Disemprotkan pada Motor yang Menyala?,Benar,https://cekfakta.com/focus/8122
[Fakta atau Hoaks] Benarkah Ini Foto-foto Jenazah Pasien Corona di Ekuador yang Digeletakkan di Pinggir Jalan?,Benar,https://cekfakta.com/focus/8037
[SALAH] “PERAGAAN BUSANA TELORNASI ANTAR UMAT BERAGAMA”,Benar,https://cekfakta.com/focus/6647
"[SALAH] “Rizieq Shihab Surati Jokowi, Minta Kasusnya Dihentikan”",Benar,https://cekfakta.com/focus/6071
"Cek Fakta: Benar, Cabup Barru Malkan Amin Meninggal Dunia di RSUP Wahidin Sudirohusodo",KLARIFIKASI,https://cekfakta.com/focus/5762
"[Cek Fakta] Arahkan Suara Pemilih, Anggota KPPS Ampenan Mataram Dipecat",Benar,https://cekfakta.com/focus/5761
(Cek Fakta): Foto Paslon dengan Kancing Baju Mirip Lubang Coblosan,KLARIFIKASI,https://cekfakta.com/focus/5759
[CEK FAKTA] Bawaslu PALI Benarkan Satgas Paslon Amankan Avanza Plat Merah Bawa Amplop Berisi Uang,Benar,https://cekfakta.com/focus/5758
[CEK FAKTA] PAC PDIP Tenggilis Mejoyo Surabaya tangkap pelaku politik uang di Kendangsari,Benar,https://cekfakta.com/focus/5750
"Debat Pilkada Solo: Gibran Sebut Setiap Kelurahan Punya Gamelan, Ini Faktanya!",Benar,https://cekfakta.com/focus/5739
[SALAH] Kapolda Papua Nyatakan Tidak Bertanggung Jawab atas Penembakan Warga Sipil,Benar,https://cekfakta.com/focus/5736
CEK FAKTA : Kemiskinan di Kabupaten Mamuju Semakin Meningkat,Benar,https://cekfakta.com/focus/5689
Cek Fakta: Rohani Vanath Sebut Pertumbuhan Ekonomi SBT Menurun Sejak Tahun 2015,Benar,https://cekfakta.com/focus/5679
Cek Fakta: Tony Klaim Pemda Koltim Raih WTP Dua Kali Berturut-turut,Benar,https://cekfakta.com/focus/5574
"CEK FAKTA Pilkada Sleman, Sri: Merapi Siaga, Warga Rentan Sudah Diungsikan?",KLARIFIKASI,https://cekfakta.com/focus/5546
"CEK FAKTA Pilkada Sleman, DWS: Hampir Setengah APBD buat Belanja Pegawai?",Benar,https://cekfakta.com/focus/5534
[SALAH] Virus Corona Sudah Sampai di Apartemen Taman Anggrek,Benar,https://cekfakta.com/focus/4781
[FALSE] “1962 Italian magazine described 2022 world would look like”,Benar,https://cekfakta.com/focus/3989
[SALAH] “Bu Risma minta didoakan agar Surabaya tdk hancur”,Benar,https://cekfakta.com/focus/3615
[SALAH] “mau dipakai infrastruktur calon Ibu Kota”,Benar,https://cekfakta.com/focus/3055
[BENAR] SPP SMA/SMK GRATIS JAWA TIMUR,Benar,https://cekfakta.com/focus/2743
[FALSE] “Peaceful days in Shanghai”,Benar,https://cekfakta.com/focus/2736
Klarifikasi BIN terkait Pesan Berantai yang Sebut 29 Tokoh Pendukung Prabowo-Sandiaga sedang Dimonitori oleh Aparat,Benar,https://cekfakta.com/focus/2515
"[BENAR] Dianggap Lecehkan Guru, Iklan Hago Diprotes",KLARIFIKASI,https://cekfakta.com/focus/2433
