Judul,Status
 Vaksin mRNA Tidak Direkomendasikan Selama Kehamilan,Salah [Misleading Content]
 Vaksin mRNA Menyebabkan Hepatitis Pada Anak,Salah [Misleading Content]
 Akun WhatsApp Bupati Enrekang Melakukan Penggalangan Donasi Berupa Uang Untuk Pondok Pesantren dan PAUD,Salah [Impostor Content]
 Akun WhatsApp Wakil Bupati Bantul dengan Nomor “081213408053” Memberikan Donasi,Salah [Impostor Content]
 Akun WhatsApp Wali Kota Magelang dengan Nomor “081358908928” Melakukan Penggalangan Donasi Berupa Uang untuk Pondok Pesantren dan PAUD,Salah [Impostor Content]
 Mobil Esemka Goib,Salah [Misleading Content]
 Tabung Gas Meledak Saat Digoyang-goyang,Salah [Misleading Content]
 Vlogger Meninggal Dunia Karena Memakan Tokek Beracun,Salah [False Connection]
 Syahrini Menjadi Istri Simpanan Lelaki Tua,Salah [False Connection]
 Pasien RSJ Dr Soeharto Heerdjan Kabur,Salah [Manipulated Content]
 Marshel Widianto Resmi Menikah Dengan Celine Evangelista,Salah [Misleading Content]
 Lowongan Kerja Dinas Kesehatan Kabupaten Karanganyar,Salah [Impostor Content]
"Keliru, Video yang Diklaim Burung Garuda atau Jatayu yang Muncul di Hutan Gunung Penanggungan, Jawa Timur",Salah [-]
"Keliru, Tepat Pada Hari ini, Jokowi Resmi Tunjuk Risma Gantikan Anies",Salah [-]
 Video Perampokan Bersenjata Tewaskan Tiga Orang di Citra 6,Salah [Misleading Content]
 Foto “Remaja ini Tebas Leher Ayahnya karena Sakit Hati Adik Dihamili 3 Bulan dan Ibunya Disiram Minyak Panas”,Salah [Misleading Content]
 Kemampuan Orang Indonesia Dalam Membedakan Fakta & Hoax Adalah Nomor 1 Dari Belakang,Salah [Misleading Content]
"Menyesatkan, Nekat Masuk Wilayah Rusia, Jet Tempur Nato Berakhir Tragis",Salah [-]
"Menyesatkan, Polandia Dilanda Kelaparan Pasca Akses Gas Rusia Diputus Total",Salah [-]
 Cek Gula Darah Gratis Menularkan Virus HIV,Salah [Fabricated Content]
 Gelombang Panas Melanda Indonesia,Salah [Misleading Content]
 Pesan WhatsApp Bupati Situbondo Karna Siswandi Dengan Nomor “082143626610” Menawarkan Bantuan,Salah [Impostor Content]
 Akun WhatsApp Ketua Fraksi NasDem DPRD DKI Jakarta Wibi Andrino “081262592219”,Salah [Impostor Content]
 Akun WhatsApp Bupati Bantaeng Ilham Azikin “081233588590”,Salah [Impostor Content]
 Imbauan Modus Kejahatan Dari Polri dan TNI AD,Salah [Fabricated Content]
 Lowongan Kerja PT Berau Coal,Salah [Fabricated Content]
 Akun WhatsApp Wali Kota Malang Sutiaji “083870256204”,Salah [Impostor Content]
 Akun Whatsapp Wakil Wali Kota Malang Sofyan Edi Jarwoko “083822041010”,Salah [Impostor Content]
" Surat Penetapan Penjabat Gubernur Papua Barat Mengatasnamakan Deputi Bidang Administrasi Aparatur, Kementerian Sekretariat Negara",Salah [Fabricated Content]
 Spanduk McDonalds Bertuliskan “Hey Crypto Bro’s WE ARE HIRING”,Salah [Manipulated Content]
: 212 Mart Adalah Sponsor Resmi ajang Formula E,Salah [Misleading Content]
 “Innalilahi wainnailaihi Rojiun … Tragis Lettu Marinir Muhammad Ikbal Gugur Ditembak KKB Saat Sujud Sholat Isya”,Salah [Misleading Content]
 Berita CNN “Anggota Polisi Ini Dimutasi ke Papua Barat karena Anaknya Hina Idol K-Pop”,Salah [Manipulated Content]
 Umat Muslim Memblokade Jalanan di Perancis dengan Salat Berjamaah,Salah [Misleading Content]
 “Wow Akhirnya Kang Elon Musk Bikin Tweet Kunjungan Presiden Jokowi”,Salah [Fabricated Content]
 Video Anak Dinosaurus Berkeliaran,Salah [False Context]
 Berita CNN tentang Dokter Terawan yang Menemukan Pengganti Insulin,Salah [Fabricated Content]
 Gambar Tangkapan Layar Artikel Kompas.com “Jokowi beri isyarat nempak nya akan mundur sehabis lebaran ini. Kegagalan membayar Utang dan kemarahan rakyat akibat kabinet nya gagal kelola negara adalag Faktor utama nya”,Salah [Fabricated Content]
  Foto Seorang Lelaki Tetap Salat Meski Tentara Israel Membakarnya,Salah [Misleading Content]
: Botol Minuman Yang Dipegang Jokowi Dan Elon Musk Merupakan Alat Penerjemah Canggih,Salah [Misleading Content]
: Rumah Ustadz Abdul Somad Terbakar,Salah [False Context]
"Keliru, CNN Indonesia Mempromosikan Obat Diabetes dari Terawan Agus Putranto",Salah [-]
"Keliru, Pemeriksaan Gula Darah Gratis dari Fakultas Kedokteran Bertujuan Menyebarkan Virus HIV AIDS",Salah [-]
": Dabbah Telah Muncul, binatang Pesan Tanda Kiamat",Salah [Misleading Content]
" “Presiden AS Menjemput PM Singapura, sementara Jokowi hanya Dijemput Dubes Indonesia untuk AS.”",Salah [Misleading Content]
 Foto Warga Italia Buang Uang ke Jalan,Salah [Misleading Content]
 Foto “Gus Ragil dan Gus Yaqut”,Salah [Manipulated Content]
 Video “hackers enter indo TV”,Salah [Manipulated Content]
 Pijatan Telapak Tangan untuk Sembuhkan Penyumbatan Jantung,Salah [Misleading Content]
 Tulisan “ANIES TERLALU MURAH BUAT INDONESIA Oleh: Rhenald Kasali”,Salah [Manipulated Content]
 Pesan WhatsApp Wakil Gubernur Sulawesi Barat dengan Nomor “085855876371” Memberikan Donasi Kepada Masjid Dan Yayasan,Salah [Impostor Content]
 Lowongan Kerja Dinas Kesehatan Kabupaten Karanganyar,Salah [Impostor Content]
 Marshel Widianto Resmi Menikah Dengan Celine Evangelista,Salah [Misleading Content]
 Pesan Berantai Subsidi Biaya Komunikasi Rp 2 Juta dari PT Telkom Indonesia,Salah [Fabricated Content]
"Keliru, Menggoyangkan Tabung Gas Bisa Memicu Ledakan",Salah [-]
"Keliru, Letda Marinir Mohammad Ikbal Gugur Ditembak KKB Saat Sujud Salat Isya",Salah [-]
 Anies Baswedan Mendapat Gelar Amirul Amanah dari Arab Saudi,Salah [False Context]
 Nomor WhatsApp JNE +6281342393457 Menawarkan Layanan Rekening Bersama JNE-YES,Salah [Impostor Content]
 Anies Baswedan Berkali-Kali Salah Mengucapkan Sumpah Jabatan,Salah [Manipulated Content]
 Video Arus Mudik Balik di Indonesia Perlihatkan Lampu Kendaraan Berwarna Merah Putih,Salah [Misleading Content]
 Cina Akan Ambil Alih Kalimantan Jika Indonesia Tidak Segera Membayar Utang,Salah [Misleading Content]
 “Pendakwah Gus Santos Barubasah: Sentuh Klitoris tiga Kali Dosa satu tahun Terampuni”,Salah [Misleading Content]
" “Ini foto Anies dan Syeikh Yusuf Al-Qaradhawi, pimpinan ISIS.”",Salah [Misleading Content]
" Konvoi Motor dengan Kaos Bertuliskan HARAM Dukung Anies Baswedan, Ruhut Sitompul: “tolong ya pilpres masih 2 ½ tahun lagi”",Salah [Manipulated Content]
" Video “Sebelum tahanan ini di eksekusi mati, dia menulis surat untuk ibunya”",Salah [Misleading Content]
 Nomor WhatsApp BCA +61280034998 Menawarkan Layanan Upgrade BCA Prioritas,Salah [Impostor Content]
" “INNALILAHI WA INNAILAIHI ROJI’UN😭😭, Bertepatan Hari Ini 10 Mei 2022, Ammar Zoni Dan Wisnu Meninggal Dunia Tertabrak Mobil, Tangis Sang Istri Pecah😭😭”",Salah [Fabricated Content]
 “Perahu wisatawan di hantam ombak laut Pangandaran”,Salah [False Context]
 Link Kuesioner PLN Berhadiah 2.000.000,Salah [Fabricated Content]
 Volodymyr Zelenskyy Pecandu Kokain,Salah [Misleading Content]
 Narkotika Jenis Kokain yang Siap Konsumsi Terdapat di Meja Kerja Presiden Ukraina,Salah [Manipulated Content]
"Keliru, Video Meteor Jatuh di Lapangan Tanjung Bumi Bangkalan",Salah [-]
: Seorang Pemuda Membuang Uang Tabungannya di Jalan Karena Depresi Ditinggal Nikah oleh Kekasihnya,Salah [Misleading Content]
": Selamat Jalan, Ari Lasso Dikuburkan di Klegen Kartoharjo",Salah [Misleading Content]
 Pilot Selfie Saat Pesawat Sedang Terbang Untuk Meyakinkan Istri,Salah [Manipulated Content]
 Hari Jadi Penerbangan Garuda Indonesia ke-73,Salah [False Context]
 Subsidi biaya komunikasi pemerintah Telkom Indonesia,Salah [False Context]
 “Menag minta masyarakat iklaskan Dana Haji dipakai Pemerintah untuk IKN”,Salah [Manipulated Content]
 Video “Ma’ruf Amin sholat mayat menggunakan ruku’ dan sujud”,Salah [False Context]
 Foto Lebaran di Indonesia Tahun 2022,Salah [False Context]
 Ustadz Yusuf Mansur Ajarkan Mencuri di Mall,Salah [Manipulated Content]
 Vaksin Covid-19 Penyebab Hepatitis Akut pada Anak-Anak,Salah [Fabricated Content]
 Wakil Presiden Pfizer Ditangkap Akibat Vaksin Eksperimental,Salah [Fabricated Content]
"Keliru, Foto Rombongan Pemotor Menggunakan Kaos Bertuliskan Haram Dukung Anies Baswedan",Salah [-]
"Sesat, Pengadilan Italia Putuskan Aturan Vaksinasi Wajib Inkonstitusional",Salah [-]
" Foto “Pesta Pernikahan Berubah Jadi Duka, 25 Orang T3was Termasuk Kedua Pengantin Di Tempat”",Salah [Misleading Content]
" Video Ras Reptil “Ciakahrr”, Penduduk Asli Bumi",Salah [Misleading Content]
 Bob Tutupoly Meninggal Dunia,Salah [Misleading Content]
 Campuran Air Panas dan Pare Mampu Bunuh Sel Kanker,Salah [Misleading Content]
 Berita CTV: “Conspiracy theorists keep getting things right; Experts say ‘that’s dangerous’”,Salah [Fabricated Content]
 Penyanyi Zinidin Zidan Meninggal Dunia,Salah [Misleading Content]
 KPK GELEDAH ANIES KARENA GELAPKAN UANG FORMULA E,Salah [Misleading Content]
 Air Rebusan Rumput Paragis dapat Sembuhkan Kanker,Salah [Misleading Content]
 Sulfur Hexaflouride adalah gas yang memiliki kepadatan seperti air,Salah [False Context]
 Bulan berada di kutub utara,Salah [False Context]
": Selamat Jalan Ayah, Selamat Jalan Mas Tukul Arwana",Salah [Misleading Content]
"Keliru, Seorang Pemuda Hambur Uang Rp 321 Juta di Jalanan karena Depresi Ditinggal Pacar",Salah [-]
"Sebagian Benar, Video Berjudul Indonesia Lakukan Ini Pada PBB Untuk Lawan Israel",Salah [-]
"Belum Ada Bukti, Vaksin Covid-19 Menjadi Penyebab Hepatitis Misterius Pada Anak-Anak",Salah [-]
 Video Kapal Perang Rusia Moskva Meledak Akibat Serangan Rudal Ukraina,Salah [False Context]
 Twitter Bill Gates Telah Ditangguhkan oleh Elon Musk,Salah [Satire]
 “Sholat Ied di Mesjid Istiqlal 300 ribu orang meluber sampai halaman Gereja Katedral..adem”,Salah [False Context]
" Artikel berjudul “Yusuf Mansur melelang motor antiknya seharga 1 milyar, Ini tanggapan Netizen”",Salah [Manipulated Content]
" Innalillahi, Kronologi ‘Berpulangnya’ Stefan William Akibat Kecelakaan Saat Syuting Sinetron",Salah [Misleading Content]
" Video “ulil amri wahabi semakin stress, dia membuat kode2 biadab”",Salah [Misleading Content]
 Presiden Rusia Vladimir Putin memainkan piano lagu Aisah,Salah [Manipulated Content]
 INNALILLAHI!! Kabar Duka Andika Pratama Men1nggal Ak1b4t Tert1mp4 Batu Saat Latihan,Salah [Misleading Content]
 Video “WNA dari China calon penghuni IKN sudah mulai berdatangan mempergunakan Tradisi pakaian adat Dayak Kalimantan”,Salah [False Context]
 “GERD menekan jantung hingga tidak berfungsi”,Salah [Misleading Content]
 Pemerintah Akan Ambil Alih Izin Praktik Dokter dari IDI Dampak Terawan Dipecat,Salah [Misleading Content]
" Foto “Pergi Mudik, 7 Orang Meninggal Karena Kecelakaan Tiga di Antaranya Satu Keluarga Meninggal Di jalanan”",Salah [False Context]
 “Di Arab khotbah ceramah berbau politik langsung di sikat”,Salah [False Context]
 Kotoran Putih Pada Bayi Baru Lahir Dapat Dihilangkan Apabila Rajin Mengonsumsi Air Kelapa Selama Hamil,Salah [Misleading Content]
 Ade Armando Meninggal Dunia,Salah [Misleading Content]
 Video Dukungan Jokowi 3 Periode,Salah [Misleading Content]
 Video “Penjajah Rusia membuat TikTok”,Salah [False Context]
 Pesan WhatsApp “Makanan Kaleng Produksi Thailand Terkontaminasi Darah Penderita AIDS” dan “Daftar Minuman Penyebab Kanker”,Salah [Misleading Content]
 Foto Siswa Sekolah Ukraina Berbaris Membentuk SS untuk Merayakan Ulang Tahun Hitler,Salah [False Context]
 Video Joe Biden Kejatuhan Kotoran Burung saat Berpidato,Salah [Satire]
 Pesan Whatsapp Kelengkapan Administrasi Pembayaran Calon Mahasiswa/i Baru Angkatan 2022/2023 Universitas Bengkulu,Salah [Fabricated Content]
 Pesan WhatsApp Gubernur Jatim Khofifah Indar Parawansa dengan Nomor “083104245110” Memberikan Donasi Kepada Panti Asuhan dan TPQ,Salah [Impostor Content]
 Foto Batu Karang Berbentuk 2 Wajah Manusia di California,Salah [Manipulated Content]
 Foto Festival Thingyan di Myanmar Tahun 2022,Salah [False Context]
 Cuitan Menteri Luar Negeri India Menawarkan Sri Lanka Untuk Menjadi Negara Bagian India,Salah [Manipulated Content]
 Video “Ade Armando Bongkar Rahasia Sejak Awal COVID-19 sampai Juni 2021 Sudah 14 Juta Tentara Masuk Indonesia”,Salah [Manipulated Content]
 Foto Paus Gereja Katolik Berada di Kuil Setan,Salah [Manipulated Content]
 Elon Musk Mengaktifkan Kembali Twitter Donald Trump,Salah [False Context]
 Bantuan Voucer Pulsa Senilai Rp2 Juta dari BSSN (Badan Siber Dan Sandi Negara) Untuk Masyarakat Terdampak Covid-19,Salah [Impostor Content]
 Video “DEMO MAHASISWA 21 APRIL 2022”,Salah [False Context]
 Foto Sampul Majalah Time Berwajah Volodymyr Zelensky,Salah [False Context]
 Video Kepadatan Arus Mudik Jelang Lebaran 2022 di Tol Cikampek Arah Luar Jakarta,Salah [False Context]
 Foto Baliho “PDI-P TIDAK BUTUH SUARA UMAT ISLAM”,Salah [Manipulated Content]
 Putri duyung nyata ditemukan di Afrika,Salah [Manipulated Content]
 Foto Seorang Anak Ukraina Melempar Batu ke Tank Tentara Rusia,Salah [False Context]
 “TRAGEDI 11 APRIL 2022 !! RATUSAN NYAWA MELAYANG RIBUAN MAHASISWA BERLARIAN DITEMBAKI HINGGA MATI”,Salah [Misleading Content]
" “TERLIBAT KUDETA PRESIDEN, DIJEMPUT PAKSA, ANIES BABAK BELUR BEGINI”",Salah [Misleading Content]
 Partai Islam Belgia Meminta Belgia Mengadopsi Hukum Syariah Jika Menang di Pemilu 2024,Salah [False Context]
 Situs Upgrade Sistem Operasi Windows 11,Salah [Impostor Content]
" “Kabar Duka Nunung Meninggal Dunia di Tol Solo-Ngawi Akibat Kecelakaan Maut,ini penjelasannya”",Salah [Misleading Content]
"Keliru, Video yang Diklaim Presiden Rusia Vladimir Putin Memainkan Lagu Aisyah Istri Rasulullah",Salah [-]
 Foto Perempuan Bela Diri Bunuh Pria yang Mau memperkosa Dirinya.,Salah [Misleading Content]
 Moderna Memproduksi Virus dan Vaksin Covid-19 Sebelum Pandemi Terjadi,Salah [Misleading Content]
 Pesan WhatsApp Bupati Bogor dengan Nomor “081358472640” Memberikan Donasi Kepada Yayasan Pondok Pesantren dan Rumah Tahidz,Salah [Impostor Content]
" Pesan WhatsApp Wakil Bupati Gunungkidul dengan Nomor “081329879795” Menyalurkan Donasi Kepada Yayasan, Masjid, dan Panti Asuhan",Salah [Impostor Content]
 Pemberian Dana Hibah untuk Pembangunan 14 Ruas Jalan di Kabupaten Blitar dari Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR),Salah [Impostor Content]
 BSSN Pantau Aktivitas Telepon dan Media Sosial Masyarakat,Salah [Misleading Content]
 Walikota Dorval di Kanada Menolak Peniadaan Menu Babi di Kantin-Kantin Sekolah,Salah [Misleading Content]
 Artikel Merdeka.com Berjudul Ibadah Haji Dibatalkan dan Seluruh Dana Dialihkan untuk Pembangunan IKN,Salah [Manipulated Content]
 Video Kengerian Perang Rusia Dan Ukraina,Salah [Misleading Content]
 Es Krim McDonald’s Mengandung Xylitol,Salah [Misleading Content]
: Artikel Merdeka.com “Maruf siapa Yang Gak Mau Bayar Zakat Masuk Neraka Jahanam”,Salah [Manipulated Content]
 Akun WhatsApp Kepala Dinas Perhubungan Kalimantan Tengah Yuliandra Dedy “081282361142”,Salah [Impostor Content]
 Akun Whatsapp Bupati Kabupaten Blitar Rini Syarifah “+6281233187768”,Salah [Impostor Content]
 Akun WhatsApp Wali Kota Probolinggo Hadi Zainal Abidin “083193960715”,Salah [Impostor Content]
 Surat Panggilan Test Calon Pegawai PLN Lokasi Denpasar,Salah [Impostor Content]
 Webinar Nasional Kriteria Penerima Bansos Oleh Pusdatin Kemensos RI,Salah [Fabricated Content]
 Infografis Imbauan Pelaporan Jika PNS Sebar Ujaran Kebencian dan Intoleransi,Salah [Fabricated Content]
 Pesan Whatsapp Shopee Beri Cashback/Voucher Belanja Rp 3 Juta,Salah [Fabricated Content]
 Akun Facebook Bupati Tana Tidung “Ibrahim Ali”,Salah [Impostor Content]
 “pesawat C17 milik militer Inggris terbang di atas gedung kota London”,Salah [False Context]
 Putusan Mahkamah Agung Republik Indonesia Nomor 31 P/HUM/2022 menyatakan Pandemi Covid-19 telah berakhir,Salah [Misleading Content]
"Keliru, Presiden Rusia Vladimir Putin Ancam Hancurkan Israel Dalam Waktu Dekat Setelah Serangan Ke Masjid Al Aqsa",Salah [-]
 Gambar Tangkapan Layar Artikel “Ma’ruf Amin: ajak orang berharta bantu negara hilangkan bahaya kemiskinan tapi jangan musingin pemerintah”,Salah [Manipulated Content]
 Gambar Tangkapan Layar Artikel Kompas.com “Ma’ruf Amin diusulkan jadi bapak pendeta”,Salah [Manipulated Content]
 Video Megawati Ingin Merombak Pancasila,Salah [Manipulated Content]
" Habis makan kepiting jangan Minum susu, dan makan pisang,
bisa jadi RACUN",Salah [Fabricated Content]
 Permata Bank Menawarkan Pinjaman Dana Tanpa Agunan/Survey Melalui SMS,Salah [Fabricated Content]
"Keliru, Putusan Mahkamah Agung RI Nomor 31 P/Hum/2022 Menyatakan Pandemi Covid-19 telah Berakhir",Salah [-]
" Gambar Tangkapan Layar Artikel Suara.com “Luhut : Saya yakin rakyat mendukung 3 periode , Yang tidak Mendukung Pasti Aqee Saja.”",Salah [Satire]
 Pemberian Hadiah Rp40 Juta dari TikTok Kepada Pengguna,Salah [Fabricated Content]
"Tidak Terbukti, Klaim Seluruh Negara Eropa Sepakat Beli Gas Rusia dengan Rubel",Salah [-]
 Hypnic Jerk Terjadi Karena Darah Dan Jantung Berhenti Dan Menyebabkan Kematian,Salah [Misleading Content]
 Gambar Tangkapan Layar Artikel CNBC “Luhut : Jawa Barat Pasti Mendukung 3 Periode!”,Salah [Manipulated Content]
